127.0.0.1 - - [20/Feb/2024:21:59:00 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Feb/2024:21:59:02 +0530] "GET /MVC/Test.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [20/Feb/2024:21:59:02 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:01:10 +0530] "GET /MVC/Test.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:01:12 +0530] "GET /MVC/Controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:01:25 +0530] "GET /MVC/Controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:01:26 +0530] "GET /MVC/Controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:01:26 +0530] "GET /MVC/Controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:01:26 +0530] "GET /MVC/Controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:02:11 +0530] "GET /MVC/Controller?action=delete HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:02:17 +0530] "GET /MVC/Updateuser.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:03:14 +0530] "GET /MVC/Updateuser.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [20/Feb/2024:22:03:17 +0530] "GET /MVC/Controller?action=delete HTTP/1.1" 200 -
